Name,PA,BB%,K%,AVG,OBP,SLG,OPS,BABIP,wRC+
Roemon Fields,388.000,8.200,16.800,0.291,0.355,0.352,0.707,0.357,100.000
Roger Kieschnick,411.768,8.282,23.079,0.267,0.328,0.479,0.807,0.319,106.717
Ronald Guzman,527.000,8.900,16.100,0.298,0.372,0.434,0.806,0.342,112.000
Ronald Torreyes,519.000,4.800,5.000,0.298,0.345,0.376,0.721,0.310,90.000
Ronny Rodriguez,485.513,4.649,18.497,0.274,0.308,0.427,0.735,0.313,104.451
Rowdy Tellez,501.000,9.400,18.800,0.222,0.295,0.333,0.628,0.264,73.000
Ruben Gotay,536.097,14.576,17.577,0.274,0.385,0.430,0.815,0.323,119.245
Russ Adams,489.051,9.712,15.134,0.260,0.337,0.409,0.747,0.286,104.010
Russ Canzler,537.562,10.866,22.204,0.278,0.358,0.466,0.823,0.336,128.122
Russell Mitchell,488.844,8.824,14.744,0.302,0.367,0.522,0.888,0.319,121.869
Rusty Ryal,446.000,7.400,21.100,0.290,0.347,0.527,0.874,0.338,127.000
Ryan Adams,415.000,7.200,24.800,0.284,0.341,0.454,0.794,0.363,117.000
Ryan Garko,437.000,10.300,15.300,0.247,0.352,0.420,0.773,0.258,117.000
Ryan Goins,410.156,6.949,18.143,0.270,0.324,0.361,0.684,0.329,90.980
Ryan Jackson,483.982,9.817,16.939,0.281,0.352,0.373,0.725,0.336,93.776
Ryan Ludwick,573.000,8.400,29.100,0.266,0.342,0.506,0.848,0.340,137.000
Ryan Mulhern,528.000,7.600,25.200,0.290,0.350,0.475,0.825,0.369,125.000
Ryan O'Hearn,463.000,9.700,25.700,0.252,0.325,0.450,0.776,0.309,99.000
Ryan Raburn,512.000,10.000,23.400,0.275,0.352,0.490,0.842,0.330,135.000
Ryan Roberts,451.879,11.425,18.677,0.277,0.361,0.440,0.801,0.324,116.290
Ryan Rohlinger,488.212,10.173,15.240,0.266,0.352,0.442,0.794,0.293,104.306
Ryan Strieby,557.000,10.800,30.700,0.255,0.341,0.429,0.770,0.349,112.000
Ryan Sweeney,471.936,8.820,15.278,0.284,0.349,0.426,0.775,0.318,115.357
Ryan Wheeler,443.232,6.500,18.001,0.326,0.368,0.512,0.880,0.371,126.618
Rymer Liriano,525.644,10.127,25.239,0.275,0.354,0.439,0.794,0.352,117.514
Sawyer Carroll,416.000,10.100,16.600,0.263,0.337,0.401,0.737,0.303,92.000
Scott Cousins,451.000,7.100,17.300,0.285,0.336,0.461,0.797,0.318,100.000
Scott Hairston,440.000,11.800,17.700,0.323,0.407,0.591,0.997,0.346,161.000
Scott Moore,425.000,11.300,18.600,0.295,0.380,0.444,0.823,0.348,107.000
Scott Schebler,485.000,8.200,19.200,0.241,0.322,0.410,0.731,0.278,91.000
Scott Thorman,427.063,5.015,18.542,0.270,0.314,0.477,0.790,0.289,104.845
Scott Van Slyke,411.000,11.200,15.600,0.327,0.404,0.578,0.982,0.354,152.000
Sean Halton,422.590,8.533,20.845,0.280,0.348,0.463,0.812,0.332,109.319
Sean Kazmar,498.513,7.448,14.127,0.256,0.315,0.351,0.666,0.290,70.226
Sean Rodriguez,459.000,12.000,26.600,0.294,0.397,0.608,1.005,0.352,162.000
Sebastian Elizalde,561.000,6.200,12.500,0.277,0.329,0.377,0.707,0.305,95.000
Sergio Santos,467.570,4.835,18.179,0.220,0.259,0.318,0.578,0.261,55.503
Seth Mejias-Brean,480.000,6.500,19.000,0.228,0.290,0.315,0.605,0.274,74.000
Seth Smith,506.000,7.700,14.400,0.317,0.381,0.528,0.909,0.345,132.000
Shane Peterson,591.200,12.149,22.576,0.281,0.370,0.426,0.796,0.355,110.550
Shane Robinson,393.000,7.100,10.700,0.238,0.306,0.351,0.657,0.255,74.000
Shawn Garrett,414.000,4.800,22.500,0.221,0.262,0.356,0.617,0.271,60.000
Shawn Riggans,453.000,6.000,19.400,0.293,0.341,0.444,0.785,0.347,120.000
Shelley Duncan,387.000,11.600,21.200,0.295,0.380,0.577,0.957,0.319,160.000
Sherman Johnson,467.000,12.800,18.200,0.226,0.332,0.345,0.677,0.265,85.000
Shin-Soo Choo,427.000,10.500,17.100,0.323,0.394,0.499,0.893,0.369,136.000
Skip Schumaker,403.000,5.700,11.900,0.306,0.348,0.382,0.730,0.342,94.000
Starling Marte,431.000,6.500,21.100,0.286,0.347,0.500,0.847,0.344,131.000
Stefan Gartrell,552.339,7.742,24.547,0.258,0.326,0.474,0.800,0.302,116.601
Stefen Romero,466.970,6.687,17.225,0.292,0.342,0.496,0.838,0.322,118.769
Stephen Parker,456.000,10.300,23.200,0.218,0.307,0.333,0.640,0.275,71.000
Stephen Piscotty,556.000,7.700,11.000,0.288,0.355,0.406,0.761,0.313,100.000
Stephen Vogt,396.000,10.600,15.400,0.272,0.350,0.424,0.774,0.306,116.000
Steve Lombardozzi,394.000,8.100,10.200,0.282,0.347,0.324,0.671,0.316,97.000
Steve Pearce,433.000,7.400,17.300,0.251,0.312,0.417,0.729,0.279,96.000
Steve Tolleson,489.469,10.096,15.250,0.273,0.350,0.386,0.736,0.312,94.314
Steven Moya,486.682,4.335,26.842,0.260,0.295,0.456,0.751,0.319,113.855
Steven Souza Jr.,407.000,12.800,18.400,0.350,0.432,0.590,1.022,0.398,180.000
T.J. Bohn,419.000,7.900,19.300,0.283,0.345,0.413,0.758,0.338,101.000
T.J. Rivera,442.000,5.200,12.200,0.353,0.393,0.516,0.909,0.383,142.000
Tagg Bozied,516.000,10.300,18.600,0.264,0.349,0.490,0.839,0.284,113.000
Taylor Davis,406.000,9.100,11.100,0.297,0.357,0.429,0.786,0.318,104.000
Taylor Featherston,439.000,5.700,22.300,0.254,0.311,0.428,0.738,0.304,111.000
Taylor Green,487.000,11.300,14.800,0.336,0.413,0.583,0.997,0.360,145.000
Taylor Harbin,513.000,4.100,10.100,0.308,0.341,0.441,0.783,0.333,100.000
Taylor Lindsey,493.000,8.100,12.000,0.238,0.306,0.372,0.678,0.254,74.000
Taylor Motter,558.000,10.200,17.000,0.292,0.366,0.471,0.837,0.332,142.000
Teoscar Hernandez,456.000,10.300,22.400,0.265,0.351,0.490,0.841,0.312,120.000
Terry Evans,552.787,6.016,24.146,0.303,0.346,0.516,0.862,0.370,120.155
Thomas Neal,409.000,8.800,17.100,0.255,0.329,0.343,0.673,0.305,88.000
Tim Beckham,522.000,8.400,20.700,0.276,0.342,0.387,0.729,0.348,106.000
Tim Federowicz,475.000,10.900,19.200,0.294,0.371,0.461,0.832,0.347,116.000
Tim Fedroff,595.000,12.100,19.800,0.242,0.334,0.306,0.640,0.300,85.000
Tim Smalling,404.000,6.400,15.100,0.256,0.314,0.343,0.658,0.291,76.000
Tim Wheeler,446.744,8.740,21.719,0.260,0.336,0.380,0.715,0.326,89.209
Todd Cunningham,482.940,8.838,13.717,0.277,0.354,0.376,0.730,0.316,104.491
Todd Frazier,538.000,8.400,23.600,0.258,0.333,0.448,0.781,0.317,109.000
Tommy Everidge,437.000,9.200,21.700,0.249,0.320,0.405,0.725,0.294,85.000
Tommy Field,494.000,8.300,15.400,0.246,0.315,0.400,0.715,0.279,84.000
Tommy Manzella,580.000,6.900,17.100,0.289,0.339,0.417,0.756,0.340,99.000
Tommy Pham,390.000,9.700,20.800,0.324,0.395,0.491,0.886,0.397,132.000
Tommy Watkins,402.000,9.700,15.700,0.272,0.349,0.404,0.753,0.310,109.000
Tony Abreu,493.941,4.501,15.577,0.306,0.341,0.458,0.799,0.346,98.916
Tony Campana,391.000,8.700,19.700,0.293,0.354,0.368,0.722,0.371,94.000
Tony Gwynn Jr.,456.711,7.818,15.226,0.289,0.345,0.366,0.712,0.339,87.993
Tony Kemp,554.000,6.300,7.800,0.329,0.375,0.470,0.845,0.344,121.000
Travis Denker,460.000,10.400,18.500,0.238,0.321,0.343,0.663,0.285,85.000
Travis Metcalf,482.774,8.823,18.761,0.255,0.322,0.404,0.727,0.297,86.380
Travis Taijeron,511.447,12.963,30.747,0.275,0.382,0.523,0.905,0.374,140.098
Trayce Thompson,417.000,5.500,18.900,0.260,0.304,0.441,0.744,0.295,114.000
Trayvon Robinson,435.629,9.522,27.315,0.262,0.335,0.448,0.784,0.339,94.992
Trent Oeltjen,501.168,6.606,18.027,0.313,0.367,0.498,0.865,0.370,120.530
Trevor Plouffe,461.555,6.617,17.148,0.252,0.307,0.418,0.725,0.281,95.517
Trey Mancini,536.000,9.000,22.900,0.280,0.349,0.427,0.775,0.351,124.000
Tsuyoshi Nishioka,431.000,7.400,12.300,0.258,0.315,0.324,0.639,0.293,78.000
Tug Hulett,476.805,12.461,18.358,0.272,0.365,0.438,0.803,0.318,109.927
Ty Kelly,496.362,14.009,15.263,0.247,0.355,0.361,0.717,0.282,96.331
Tyler Collins,526.000,9.300,22.100,0.263,0.335,0.423,0.758,0.310,108.000
Tyler Flowers,412.000,13.300,29.400,0.220,0.334,0.434,0.768,0.283,108.000
Tyler Graham,468.000,6.600,17.100,0.273,0.337,0.338,0.675,0.332,72.000
Tyler Henson,481.690,7.132,22.321,0.256,0.313,0.362,0.674,0.328,87.899
Tyler Holt,431.000,11.600,14.400,0.302,0.386,0.370,0.756,0.360,125.000
Tyler Kuhn,525.000,4.400,14.700,0.272,0.306,0.391,0.697,0.310,89.000
Tyler O'Neill,557.000,9.700,27.100,0.246,0.321,0.499,0.820,0.286,107.000
Tyler Smith,402.898,7.468,17.915,0.250,0.315,0.344,0.659,0.297,74.571
Tyler Wade,388.000,9.800,19.300,0.310,0.382,0.460,0.842,0.375,136.000
Tyler White,497.000,9.500,20.300,0.300,0.371,0.528,0.898,0.334,130.000
Tyrell Godwin,453.000,7.100,15.000,0.248,0.307,0.387,0.694,0.281,82.000
Victor Diaz,500.229,8.877,27.773,0.259,0.330,0.439,0.767,0.340,97.465
Vince Belnome,513.320,15.224,23.140,0.274,0.384,0.416,0.799,0.353,126.200
Vinnie Catricala,507.000,7.300,17.400,0.229,0.292,0.348,0.640,0.262,65.000
Vinny Rottino,441.274,8.702,14.986,0.302,0.371,0.443,0.814,0.340,113.612
Wayne Lydon,570.481,9.402,17.908,0.259,0.331,0.352,0.683,0.314,90.775
Wes Bankston,444.524,5.760,18.641,0.262,0.308,0.453,0.761,0.286,99.020
Wes Hodges,531.000,5.600,18.100,0.270,0.308,0.430,0.738,0.304,96.000
Whit Merrifield,594.000,6.600,11.100,0.265,0.317,0.364,0.681,0.292,81.000
Wil Myers,439.000,10.300,22.300,0.304,0.378,0.554,0.932,0.349,137.000
Wilfredo Tovar,448.494,6.677,13.888,0.251,0.303,0.340,0.642,0.286,75.907
Wilkin Castillo,468.000,5.300,12.600,0.248,0.297,0.341,0.638,0.273,60.000
Wilkin Ramirez,442.619,6.694,27.352,0.266,0.321,0.448,0.769,0.339,112.548
Will Rhymes,438.660,8.236,10.585,0.282,0.346,0.383,0.729,0.312,101.495
Will Venable,496.000,8.900,20.800,0.292,0.361,0.464,0.825,0.352,110.000
William Bergolla,427.974,6.198,10.999,0.292,0.338,0.390,0.729,0.320,95.319
Willie Calhoun,534.000,7.900,11.400,0.300,0.355,0.572,0.927,0.289,133.000
Willy Adames,578.000,11.200,22.800,0.277,0.360,0.415,0.776,0.354,119.000
Willy Garcia,499.000,6.200,26.300,0.245,0.293,0.366,0.659,0.326,87.000
Wilmer Flores,463.000,5.400,13.600,0.321,0.357,0.531,0.887,0.342,129.000
Wladimir Balentien,502.249,9.129,19.073,0.287,0.351,0.521,0.872,0.308,123.992
Xavier Avery,470.956,10.459,25.378,0.264,0.344,0.400,0.744,0.350,107.418
Xavier Paul,506.000,8.500,19.000,0.316,0.378,0.463,0.841,0.381,114.000
Xavier Scruggs,497.513,10.855,21.973,0.264,0.357,0.456,0.813,0.313,114.537
Yadiel Rivera,414.000,7.200,25.100,0.218,0.282,0.314,0.596,0.287,53.000
Yamaico Navarro,452.000,11.700,16.200,0.267,0.354,0.418,0.772,0.296,118.000
Yandy Diaz,416.000,11.300,16.800,0.325,0.399,0.461,0.860,0.381,149.000
Yangervis Solarte,572.535,6.998,9.867,0.282,0.331,0.404,0.736,0.294,90.984
Yonder Alonso,427.759,9.689,15.951,0.296,0.364,0.478,0.842,0.332,127.789
Yordany Ramirez,467.736,2.349,13.791,0.244,0.265,0.381,0.646,0.259,58.668
Yurendell de Caster,469.620,9.937,20.736,0.277,0.355,0.415,0.771,0.338,115.112
Zach Borenstein,414.872,9.541,29.243,0.276,0.344,0.510,0.853,0.362,118.643
Zach Lutz,466.000,11.600,21.900,0.293,0.377,0.479,0.856,0.357,126.000
Zach Shank,418.000,7.900,22.500,0.215,0.282,0.307,0.589,0.276,52.000
Zach Vincej,420.000,6.700,11.700,0.270,0.325,0.370,0.696,0.302,94.000
Zach Walters,521.000,3.800,25.700,0.253,0.286,0.517,0.803,0.285,117.000
Zack Cozart,610.000,6.600,17.500,0.255,0.310,0.416,0.726,0.286,94.000
Zoilo Almonte,454.000,6.400,23.100,0.261,0.311,0.437,0.748,0.307,103.000
