Name,PA,BB%,K%,AVG,OBP,SLG,OPS,BABIP,wRC+
Jacob May,467.000,6.400,24.000,0.248,0.307,0.325,0.632,0.331,77.000
Jacoby Ellsbury,401.000,8.000,11.700,0.298,0.360,0.380,0.740,0.337,106.000
Jaff Decker,409.883,12.381,20.680,0.268,0.361,0.406,0.767,0.328,111.542
Jai Miller,459.082,10.548,30.677,0.276,0.359,0.523,0.882,0.368,119.721
Jake Bauers,575.000,13.600,19.500,0.263,0.368,0.412,0.779,0.314,120.000
Jake Elmore,511.000,14.500,10.600,0.344,0.442,0.465,0.908,0.386,143.000
Jake Goebbert,421.000,13.500,16.600,0.294,0.392,0.452,0.844,0.336,128.000
Jamal Strong,416.000,10.100,16.800,0.241,0.331,0.300,0.631,0.295,81.000
James Beresford,536.498,6.711,13.047,0.284,0.331,0.341,0.673,0.327,91.988
James Loney,406.000,7.900,8.400,0.380,0.426,0.546,0.973,0.397,155.000
James McCann,460.000,5.400,19.600,0.295,0.343,0.427,0.770,0.355,112.000
James Ramsey,455.123,9.885,26.849,0.253,0.334,0.397,0.731,0.338,104.365
James Rapoport,464.000,9.500,12.300,0.267,0.341,0.331,0.672,0.305,78.000
Jamie D'Antona,496.662,7.086,12.264,0.334,0.382,0.547,0.929,0.355,133.559
Jamie Hoffmann,533.216,9.006,17.447,0.290,0.359,0.447,0.805,0.331,108.429
Jamie Romak,518.000,9.500,22.200,0.242,0.322,0.461,0.782,0.275,104.000
Jantzen Witte,395.000,7.800,14.700,0.258,0.327,0.361,0.688,0.302,99.000
Jared Hoying,508.825,7.025,21.688,0.251,0.307,0.476,0.783,0.284,100.266
